company_ISIN,name,headquarters,size,year_founded,ownership_type,industry,sector,revenue
BMG0450A1053,Arch Capital,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BMG0957L1090,Beijing Enterprises Water Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BMG2109G1033,China Gas Holdings,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BMG2113B1081,China Resources Logic,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BMG2178K1009,Cheung Kong Infrastructure,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BMG2519Y1084,Credicorp,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BMG3223R1088,Everest Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BMG4404N1149,Ruyi Holdings,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BMG4587L1090,Hongkong Land,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BMG507361001,Jardine Matheson,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BMG5320C1082,Kunlun International Financial,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BMG677491539,Orient Overseas,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRABEVACNOR1,Ambev,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRB3SAACNOR6,B3,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRBBASACNOR3,Brasil Brokers,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRBBDCACNOR1,Banco Bradesco,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRBBSEACNOR5,BB Seguridade,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRBPACACNOR7,BTG Pactual,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRBRFSACNOR8,BRF,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRCPFEACNOR0,CPFL Energia,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRCPLEACNOR8,COPEL,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BREGIEACNOR9,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRELETACNOR6,Centra Health,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BREMBRACNOR4,EMBRAER,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRENEVACNOR8,Eneva,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRENGIACNOR0,Energisa,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BREQTLACNOR0,Equatorial Marine Fuel Management Services,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRGGBRACNOR1,Gerdau,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRITSAACNOR0,Itaúsa,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRITUBACNOR4,Itaú Unibanco (Itaú BBA e Rede),Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRKLBNACNOR2,Klabin,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRNTCOACNOR5,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRPETRACNOR9,Petrobras,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRRADLACNOR0,Raia Drogasil,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRRAILACNOR9,Rumo,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRRDORACNOR8,Rede D'Or,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRRENTACNOR4,Localiza&Co,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRSBSPACNOR5,SABESP,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRSUZBACNOR0,Suzano,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRTIMSACNOR5,TIM,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRTOTSACNOR8,TOTVS,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRVALEACNOR0,Vale,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRVBBRACNOR1,Vibra Energia,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRVIVTACNOR0,Vivo (Telefônica Brasil),Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BRWEGEACNOR0,WEG,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA00208D4084,ARC Resources,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA0084741085,Agnico Eagle,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA0115321089,Alamos Gold,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA01626P1484,Couche-Tard,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA0213611001,AltaGas,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA05534B7604,Best Buy Express,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA0636711016,Eidos Montreal,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA0641491075,Province of Nova Scotia,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA06849F1080,Barrick Mining,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA11271J1075,Brookfield Renewable,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA11285B1085,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA1130041058,Brookfield,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA1247651088,CAE,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA1249003098,CCL Industries,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA12532H1047,CGI,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA13321L1085,Cameco,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA1363751027,CN,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA1363851017,Canadian Natural,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA13646K1084,CPKC,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA1366812024,Canadian Tire,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA1367178326,Canadian Utilities,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA15101Q2071,Celestica,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA15135U1093,Cenovus,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA21037X1006,Constellation Software,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA2499061083,Descartes Systems,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA25675T1075,Dollarama,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA2861812014,Element Fleet Management,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA2908761018,Emera,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA2918434077,Empire (Canada),Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA29250N1050,Enbridge,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA3039011026,Fairfax Financial Holdings,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA3359341052,First Quantum Minerals,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA33767E2024,FirstService,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA3495531079,Fortis,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA3518581051,Franco-Nevada,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA36168Q1046,GFL Environmental,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA3759161035,Gildan,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA39138C1068,Great-West Lifeco,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA4488112083,Hydro One,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA4495861060,IGM Financial,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA45075E1043,iA Groupe financier,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA4530384086,Imperial Oil,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA45823T1066,Intact,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA46579R1047,Ivanhoe Mines,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA4932711001,Keyera,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA4969024047,Kinross Gold,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA5394811015,Loblaw Companies,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA5503711080,Lundin Gold,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA5503721063,Lundin Mining,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA5592224011,Magna International,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA56501R1064,Manulife,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA59162N1096,Metro,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA6330671034,Banque Nationale du Canada/National Bank of Canada,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA6837151068,OpenText,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA6979001089,Pan American Silver,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA7063271034,Pembina Pipeline Corp,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA7392391016,Power of Canada,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA7481932084,Quebecor,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA74935Q1072,RB Dwyer Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA76131D1033,Restaurant Brands International,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA7751092007,Rogers Communications,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA7800871021,Royal College of Physicians and Surgeons of Canada,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA8029121057,Saputo,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA82509L1076,Carson Shopify,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA85472N1096,Stantec,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA8667961053,Sun Life,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA8672241079,Suncor,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA87241L1094,TFI International,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA87262K1057,TMX Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA87807B1076,TC Energy,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA8787423034,Teck Resources Limited,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA87971M1032,TELUS Spark,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA8849038085,Thomson Reuters,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA8911021050,Toromont,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA89156V1067,Tourmaline Oil,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA92938W2022,WSP,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA94106B1013,Waste Connections of Canada,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA9528451052,West Fraser Timber,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA9611485090,George Weston,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA9628791027,Wheaton Precious Metals,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CA96467A2002,Whitecap Resources,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0008038389,Swiss Prime Site,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0008742519,Swisscom,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0009002962,Barry Callebaut,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0010570767,Lindt & Sprüngli,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0010645932,Givaudan,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0011075394,Zurich Insurance,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0012005267,Novartis,"Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
CH0012032048,Roche,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0012214059,Holcim,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0012221716,ABB,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0012255151,Swatch Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0012410517,Baloise Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0012549785,Sonova,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0013841017,Lonza,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0014852781,Swiss Life,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0016440353,EMS-CHEMIE,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0023405456,Avolta,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0024608827,DKSH Holding,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0024638196,Schindler,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0025238863,Kuehne+Nagel,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0025751329,Logitech,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0030170408,Geberit,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0038863350,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0044328745,Chubb Fire & Security,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0102484968,Julius Baer,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0114405324,Garmin,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0126881561,Swiss Re,"Zurich, Switzerland",10000+ employees,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD)
CH0130293662,BKW,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0198251305,Coca-Cola HBC,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0210483332,Richemont,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0244767585,UBS,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0311864901,VAT Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0418792922,Sika Schweiz,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0435377954,SIG Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH0466642201,Helvetia Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH1175448666,Straumann Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH1216478797,dsm-firmenich,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH1243598427,Sandoz,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH1256740924,SGS,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH1300646267,Bunge,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CH1335392721,Galderma,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CL0000000100,Cencosud,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CL0000000423,LATAM,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CL0000001314,CMPC,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CL0002266774,Enel,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CLP0939W1081,Banco de Chile,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CLP1506A1070,Santander,"Madrid, Spain",10000+ employees,1856,Company - Private,Banks & Credit Unions,Finance,$10+ billion (USD)
CLP321331116,Banco de Crédito e Inversiones,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CLP3880F1085,Falabella,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CLP7847L1080,Copec,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000040,Ping An Bank,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE0000000T2,China Vanke,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE0000001D4,Gree Electrical Appliances,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000230,Fuyao Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE0000005Q7,Shenergy Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE0000007J8,Changchun Gas,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE0000008J6,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE0000008L2,GF Securities,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE0000008X7,Yunnan Baiyao Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE0000009Y3,Tsingtao,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000C66,Baosight,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000C82,Shanghai Pharmaceuticals Holding,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000CG9,Haier Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000DG7,ENN Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000FH0,XCMG,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000GF2,Luzhou Laojiao,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000GJ4,Changhong Electric,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000HP9,MEIHUA,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000J28,Dongfang Electric,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000JP5,Yili Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000KB3,San'an Optoelectronics,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000M15,HUAYU Automotive Systems,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000M72,Wingtech,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000MS3,Cnpc,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000PC0,Nan,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000PY4,Yutong Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000Q11,UBS SDIC Fund Management,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000QZ9,Guoyuan Securities,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000R36,Chongqing Changan Automobile,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000R69,Beijing Tongrentang,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000RB8,Tbea Energy,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000SH3,Changjiang Securities,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000SV4,Sinolink Securities,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000TK5,ZTE,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000TR0,China Eastern Airlines,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000TY6,SAIC Motor,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000V89,Shanghai Airport,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000VB0,New Hope Liuhe,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000W05,China State Shipbuilding,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
CNE000000WD4,WinTime spa,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
